FIRST NAME,MIDDLE NAME,LAST NAME,GENDER,DOB,AGE,PASSWORD,CLASS_ID,MEDIUM_ID,EMAIL_ID,SUBJECT_ID,QUALIFICATION,JOINING_DATE,CONTACT_NO,MOBILE_NO,CITY_ID,PINCODE,ADDRESS,USERNAME
Shruti,Ramulu,Samala,Female,"28,12,1991",28,123456,3/A,English,samratvidyalaya1@gmail.com,ENGLISH,B.E,"28,8,2015",9924358301,9924358301,Surat,395010,"Om Nagar Society, Near Dumbhal Tenament, Surat",Teacher01
Kajal,Gulabchand,Tiwari,Female,"28,12,1992",28,123456,3/A,English,samratvidyalaya2@gmail.com,HINDI,B.E,"28,8,2016",8866118499,8866118499,Surat,395010,"302 Sai App., Ganesh nagar, Parvat patiya, Surat.",Teacher02
Barsarani,Ajaykumar,Aapat,Female,"28,12,1993",28,123456,3/A,English,samratvidyalaya3@gmail.com,GUJARATI,B.E,"28,8,2017",9924358301,9924358301,Surat,395010,"104 Rajiv Nagar, New B ombay Market, Umarwada, Surat.",Teacher03
Urvashi,Mohan,Prajapati,Female,"28,12,1994",28,123456,3/A,English,samratvidyalaya4@gmail.com,SCIENCE,B.E,"28,8,2018",8866118499,8866118499,Surat,395010,"B-8/43 Model town Rensidency, Nr. Lavapatidar Culturac ",Teacher04
Taniya,Kahaniyalal,Solanki,Female,"28,12,1995",28,123456,3/A,English,samratvidyalaya5@gmail.com,MATHEMATICS,B.E,"28,8,2019",9924358301,9924358301,Surat,395010,"200 Laxmi Park Row house, Nr. Gyan Jyoti School, Godadra ",Teacher05
Swaruparani,Jayantilal,Rawal,Female,"28,12,1996",28,123456,3/A,English,samratvidyalaya6@gmail.com,SOCIAL SCIENCE,B.E,"28,8,2020",8866118499,8866118499,Surat,395010,"16 Chamunda Rensi., Godadara, Surat.",Teacher06
Sakshi,Vimalkumar,Sharma,Female,"28,12,1997",28,123456,3/A,English,samratvidyalaya@gmail.com,COMPUTER,B.E,"28,8,2021",9924358301,9924358301,Surat,395010,"205 Salasar Rensi., Saroli Gam, Magob, Surat.",Teacher07
Anvesh,Ramubhai,Gadipelli,Male,"28,12,1998",28,123456,2/A,English,samratvidyalaya@gmail.com,ENGLISH,B.E,"28,8,2022",8866118499,8866118499,Surat,395010,"98 Ambica Nagar,Near Salssar Nagar,Surat.",Teacher08
Ankur,Udaybhan,Yadav,Male,"28,12,1999",28,123456,2/A,English,samratvidyalaya@gmail.com,HINDI,B.E,"28,8,2023",9924358301,9924358301,Surat,395010,"203 Rekha Park, Ganesh nagar, Parvat patiya, Puna ",Teacher09
Vishal,Tejubhai,Prajapati,Male,"28,12,2000",28,123456,2/A,English,samratvidyalaya@gmail.com,GUJARATI,B.E,"28,8,2024",8866118499,8866118499,Surat,395010,"282/283 Maruti nagar, Limbayat, Surat.",Teacher10
Abhishek,Rameshchandra,Asopa,Male,"28,12,2001",28,123456,2/A,English,samratvidyalaya@gmail.com,SCIENCE,B.E,"28,8,2025",9924358301,9924358301,Surat,395010,"F-503 Shyam Rensidency, Kumbhariya gam, Surat.",Teacher11
Piyush,Vishal,Suryvanshi,Male,"28,12,2002",28,123456,2/A,English,samratvidyalaya@gmail.com,MATHEMATICS,B.E,"28,8,2026",8866118499,8866118499,Surat,395010,"63, Kailash Nagar, Godadra, Surat.",Teacher12
Tanuj,Sunil,Jain,Male,"28,12,2003",28,123456,2/A,English,samratvidyalaya@gmail.com,SOCIAL SCIENCE,B.E,"28,8,2027",9924358301,9924358301,Surat,395010,"B-902 Silicon Palace, Parvat patiya, Surat.",Teacher13
Jay,Vishalbhai,Ahire,Male,"28,12,2004",28,123456,2/A,English,samratvidyalaya@gmail.com,COMPUTER,B.E,"28,8,2028",8866118499,8866118499,Surat,395010,"375 Anand nagar, Sahara darvaja, Surat.",Teacher14
